,index,Date,Open,Close,High,Low,Volume,sma7,sma25,sma99,bb_sma,bb_ub,bb_lb,psar,RSI,twap
36010,36110,2020-01-11 05:00:00,8113.70282015,8074.9715508,8113.70282015,8038.1,0.18526685789000003,8153.117302375715,7969.9768446652,7998.6899712215145,8029.2310558315,8270.783600074847,7787.678511588154,8239.89,55.608351748705644,8098.779061825
36011,36111,2020-01-11 06:00:00,8074.9715508,8110.2,8114.0,8062.0,0.05010982309,8142.503016661429,7984.6968446652,8000.865728797274,8046.1160558315005,8259.039153941372,7833.192957721628,8231.8184,58.399014970528555,8085.495728491667
36012,36112,2020-01-11 07:00:00,8108.5,8065.4,8134.4,8065.3,0.09693151038,8129.617302375715,7997.4728446652,8003.194011625556,8057.816055831501,8246.608171352442,7869.023940310561,8224.069664,53.76973716514864,8091.883333333333
36013,36113,2020-01-11 08:00:00,8065.3,8058.7,8077.2,8037.0,0.10131534587999999,8109.908821371428,8010.0408446652,8005.018254049798,8065.961055831499,8239.533561099146,7892.388550563851,8216.63087744,53.09191219822521,8073.0
36014,36114,2020-01-11 09:00:00,8058.7,8106.03140941,8111.6,8056.2,0.10044682848,8096.857565744285,8026.2021010416,8007.395338993334,8078.172626302,8224.85494996437,7931.49030263963,8205.8530247936,57.19691999560359,8074.455234901667
36015,36115,2020-01-11 10:00:00,8106.03140941,8042.6,8106.03140941,8040.7,0.09524161865000001,8081.657565744285,8038.7021010416,8009.058975356969,8082.087626301999,8220.341315291522,7943.833937312476,8195.721843305984,50.7829910891912,8077.193803136666
36016,36116,2020-01-11 11:00:00,8042.7,8031.6,8051.3,7991.8,0.39092082018,8069.928994315714,8049.066101041601,8010.596349094344,8081.142626301999,8220.500994813026,7941.784257790972,8186.198532707625,49.741293684103674,8044.005234901667
36017,36117,2020-01-11 12:00:00,8031.6,8038.1,8041.7,8015.0,0.09063892822,8064.661629915715,8057.3341010416,8012.395338993334,8085.942626302001,8211.770119418792,7960.11513318521,8170.6466500910155,50.38889476143434,8028.25
36018,36118,2020-01-11 13:00:00,8038.0,8076.7,8076.7,8035.6,0.16679673903,8059.87591563,8064.5701010416005,8014.3822076802035,8091.717626301999,8203.985592298097,7979.4496603059015,8156.338918083734,54.1658679356958,8047.299999999999
36019,36119,2020-01-11 14:00:00,8075.1,8044.5,8096.8,8044.5,0.10146357211,8056.890201344286,8071.878101041601,8015.8024097004045,8093.442626302,8201.620907144008,7985.264345459991,8143.175804637035,50.69839964045771,8062.466666666667
36020,36120,2020-01-11 15:00:00,8044.5,8087.6,8090.6,8044.4,0.07614996493,8061.018772772857,8076.810101041599,8017.948874346869,8095.297626302,8201.725018319328,7988.870234284673,8131.065740266073,54.863458588018105,8068.066666666667
36021,36121,2020-01-11 16:00:00,8090.3,8148.5,8150.0,8068.0,0.28816205771,8067.085714285714,8080.7301010415995,8020.872106670101,8099.947626302,8207.137308982625,7992.757943621374,7991.8,60.00497067110217,8098.183333333333
36022,36122,2020-01-11 17:00:00,8149.8,8146.5,8196.2,8136.05539537,0.23444286747999998,8081.928571428572,8088.906101041599,8023.781197579192,8105.322626302,8210.510874895579,8000.13437770842,7994.964,59.7642013825483,8140.875899228334
36023,36123,2020-01-11 18:00:00,8146.6,8150.0,8176.1,8130.2,0.11066488408,8098.842857142858,8096.4581010416,8027.616551114546,8108.912626301999,8215.049808358004,8002.775444245994,8003.01344,60.066180867680636,8155.842565895001
