Date,Open,Close,High,Low,Volume
2021-11-01 04:00:00,59906.09853489,60517.0,60720.0,59522.0,336.58433727
2021-11-01 05:00:00,60514.0,60635.050982,60846.0,60471.0,50.47665732
2021-11-01 06:00:00,60619.0,60750.21815387,60933.0,60297.0,53.88316313
2021-11-01 07:00:00,60749.0,62176.0,62304.0,60749.0,407.0245616
2021-11-01 08:00:00,62174.68124731,61960.0,62442.0,61674.36534802,289.72431528
2021-11-01 09:00:00,61961.0,61983.0,62244.0,61891.0,122.60599057
2021-11-01 10:00:00,61983.0,62311.0,62316.0,61931.58926242,192.97912431
2021-11-01 11:00:00,62308.0,61864.0,62491.21298363,61840.0,671.37787694
2021-11-01 12:00:00,61878.63424234,61884.51443211,62203.0,61668.0,318.96222349
2021-11-01 13:00:00,61912.0,61992.0,62081.79523406,61744.0,151.30060485
2021-11-01 14:00:00,61990.0,61468.0,62024.0,61335.0,157.15939586
2021-11-01 15:00:00,61473.0,61570.0,61630.0,61413.0,136.03025552
2021-11-01 16:00:00,61570.0,61086.0,61586.0,61086.0,179.55546802
2021-11-01 17:00:00,61086.0,60797.0,61114.74953779,60774.0,164.01104737
2021-11-01 18:00:00,60796.0,60596.0,60844.15096659,60551.0,109.98900859
2021-11-01 19:00:00,60581.0,61464.0,61464.0,60390.0,176.6571148
2021-11-01 20:00:00,61464.10522712,60718.0,61465.26564975,60589.0,140.63813908
2021-11-01 21:00:00,60699.0,60762.0,60926.0,60413.0,100.08411284
2021-11-01 22:00:00,60761.0,61130.41611797,61210.0,60750.0,71.78907619
2021-11-01 23:00:00,61130.0,60949.0,61202.0,60905.0,25.68204628
2021-11-02 00:00:00,60923.30466641,60959.0,61398.0,60661.0,57.72891575
2021-11-02 01:00:00,60959.0,61342.05370126,61570.0,60793.0,94.16534775
2021-11-02 02:00:00,61342.0,60954.0,61424.0,60870.0,66.47542202
2021-11-02 03:00:00,60959.0,61113.0,61159.0,60824.0,57.89408797
2021-11-02 04:00:00,61107.0,61431.59620245,61567.83767941,61102.0,89.68539767
2021-11-02 05:00:00,61432.0,61766.0,61799.0,61310.0,110.52249692
2021-11-02 06:00:00,61766.0,61778.0,61814.0,61573.0,50.00395497
2021-11-02 07:00:00,61764.0,61528.79037383,61807.0,61521.0,71.0998431
2021-11-02 08:00:00,61534.0,61617.0832401,61797.0,61401.0,93.29326224
2021-11-02 09:00:00,61613.60519296,63155.0,63244.0,61523.0,655.65491453
2021-11-02 10:00:00,63155.22165494,63244.0,63658.0,63111.0,697.29558521
2021-11-02 11:00:00,63246.0,62967.5000464,63452.0,62962.85984743,466.90518533
2021-11-02 12:00:00,62974.0,63051.15814998,63345.0,62974.0,201.28216321
2021-11-02 13:00:00,63049.0,63442.0,63500.0,63049.0,144.88350961
2021-11-02 14:00:00,63447.0,63349.0,63944.0,63065.0,578.01580478
2021-11-02 15:00:00,63349.96898928,64047.0,64313.0,63349.0,459.71434092
2021-11-02 16:00:00,64046.75530906,63724.0,64286.0,63679.0,425.82120823
2021-11-02 17:00:00,63722.30616486,63477.0,63804.0,63445.0,142.34476056
2021-11-02 18:00:00,63477.0,63280.13785869,63531.0,63279.0,132.26299328
2021-11-02 19:00:00,63283.0,63610.0,63681.0,63280.0,161.34299921
2021-11-02 20:00:00,63601.0,63126.52052631,63601.0,63100.0,63.41161468
2021-11-02 21:00:00,63135.0,63046.0,63224.0,62955.0,65.13281886
2021-11-02 22:00:00,63047.0,62986.0,63198.0,62968.0,116.69504583
2021-11-02 23:00:00,62986.0,63249.0,63299.0,62670.0,199.97330964
2021-11-03 00:00:00,63249.0,63542.0,63565.0,62926.53613925,127.60440333
2021-11-03 01:00:00,63536.0,63187.0,63536.73997488,63050.67655034,123.80348839
2021-11-03 02:00:00,63160.0,63195.38964988,63238.0,62795.10118996,88.54912512
2021-11-03 03:00:00,63199.0,63248.0,63286.0,63000.0,51.65056426
2021-11-03 04:00:00,63259.0,62802.0,63259.0,62792.0,78.08532516
2021-11-03 05:00:00,62801.0,63068.0,63224.0,62789.0,51.40672668
2021-11-03 06:00:00,63070.0,62877.0,63137.0,62852.06597498,46.62907712
2021-11-03 07:00:00,62875.0,63431.0,63539.0,62827.74062692,80.64597305
2021-11-03 08:00:00,63432.0,63005.72196435,63432.0,62946.0,112.55973225
2021-11-03 09:00:00,63005.72196435,63348.0,63368.0,62903.0,90.51315328
2021-11-03 10:00:00,63339.0,63161.0,63445.0,63157.0,41.81135337
2021-11-03 11:00:00,63161.0,63163.0,63238.0,62971.0,84.28458223
2021-11-03 12:00:00,63161.0,62510.0,63186.0,62302.0,286.60907304
2021-11-03 13:00:00,62511.0,61834.0,62706.0,61687.0,422.76211099
2021-11-03 14:00:00,61834.0,62003.0,62100.0,61610.0,354.48607201
2021-11-03 15:00:00,62001.0,62201.0,62247.0,61753.0,194.26141734
2021-11-03 16:00:00,62200.0,62140.0,62525.0,61962.0,122.62325991
2021-11-03 17:00:00,62144.0,62507.0,62670.0,62108.0,95.61088164
2021-11-03 18:00:00,62507.0,63166.0,63189.0,60175.0,1465.69454307
2021-11-03 19:00:00,63167.68953933,62806.0,63349.0,62803.0,224.27381453
2021-11-03 20:00:00,62803.0,62683.0,63009.0,62667.0,262.88251854
2021-11-03 21:00:00,62683.0,63049.0,63178.0,62683.0,162.6040829
2021-11-03 22:00:00,63049.0,62764.0,63109.0,62725.0,138.87786936
2021-11-03 23:00:00,62791.0,62900.0,63070.60120625,62776.0,56.28499434
2021-11-04 00:00:00,62893.0,62809.0,63067.0,62751.0,66.91466613
2021-11-04 01:00:00,62815.0,62360.0,62843.0,62307.0,150.89693589
2021-11-04 02:00:00,62361.0,62568.0,62576.0,62222.0,70.26244907
2021-11-04 03:00:00,62568.0,62466.0,62611.0,62322.0,37.7422301
2021-11-04 04:00:00,62463.0,62705.0,62836.0,62437.0,54.9639244
2021-11-04 05:00:00,62708.0,62386.0,62757.3483797,62367.0,21.57376372
2021-11-04 06:00:00,62401.0,62471.0,62647.08091755,62377.0,65.83737384
2021-11-04 07:00:00,62486.8118886,61879.0,62623.0,61867.0,162.17900087
2021-11-04 08:00:00,61894.0,61622.0,62313.0,61601.0,180.52530531
